29.11.2023 05:31:11.408 [http-bio-8080-exec-2] INFO   index.jsp - index.jsp is opened!
29.11.2023 05:33:18.484 [main] INFO   u.UFO00AcceptChallengeService - Answer was received. isAccepted: true; message: Ви прийняли виклик; next page: climbCaptainBridge.jsp
29.11.2023 05:33:18.516 [main] INFO   u.UFO00AcceptChallengeService - Answer was received. isAccepted: false; message: Ви відхили виклик; next page: losePage.jsp
29.11.2023 05:44:23.874 [http-bio-8080-exec-2] INFO   index.jsp - index.jsp is opened!
29.11.2023 05:44:33.385 [http-bio-8080-exec-5] INFO   u.UFO00AcceptChallengeService - Answer was received. isAccepted: true; message: Ви прийняли виклик; next page: climbCaptainBridge.jsp
29.11.2023 05:44:33.387 [http-bio-8080-exec-5] INFO   u.w.UFO00ChallengeServlet - Answer was received. Message: Ви прийняли виклик; forwarding to page: climbCaptainBridge.jsp; status was set: 200.
29.11.2023 05:44:33.462 [http-bio-8080-exec-5] INFO   c.jsp - climbCaptainBridge.jsp is opened!
29.11.2023 05:56:15.326 [http-bio-8080-exec-2] INFO   u.UFO00AcceptChallengeService - Answer was received. isAccepted: true; message: Ви прийняли виклик; next page: climbCaptainBridge.jsp
29.11.2023 05:56:15.342 [http-bio-8080-exec-2] INFO   u.w.UFO00ChallengeServlet - Answer was received. Message: Ви прийняли виклик; forwarding to page: climbCaptainBridge.jsp; status was set: 200.
29.11.2023 05:56:15.454 [http-bio-8080-exec-2] INFO   c.jsp - climbCaptainBridge.jsp is opened!
29.11.2023 05:56:18.518 [http-bio-8080-exec-3] INFO   u.UFO01CaptainBridgeService - Answer was received. isAccepted: true; message: Ви піднялися на капітанський місток; next page: whoAreYou.jsp
29.11.2023 05:56:18.519 [http-bio-8080-exec-3] INFO   u.w.UFO01CaptainBridgeServlet - Answer was received. Message: Ви піднялися на капітанський місток; forwarding to page: whoAreYou.jsp; status was set: 200.
29.11.2023 05:56:18.575 [http-bio-8080-exec-3] INFO   whoAreYou.jsp - whoAreYou.jsp is opened!
29.11.2023 05:56:21.308 [http-bio-8080-exec-5] INFO   u.UFO02WhoAreYouService - Answer was received. isAccepted: true; message: Ви розповіли правду про себе; next page: youWon.jsp
29.11.2023 05:56:21.309 [http-bio-8080-exec-5] INFO   u.w.UFO02WhoAreYouServlet - Answer was received. Message: Ви розповіли правду про себе; forwarding to page: youWon.jsp; status was set: 200.
29.11.2023 05:56:21.367 [http-bio-8080-exec-5] INFO   youWon.jsp - youWon.jsp is opened!
29.11.2023 05:56:22.674 [http-bio-8080-exec-6] INFO   index.jsp - index.jsp is opened!
29.11.2023 06:03:33.032 [http-bio-8080-exec-2] INFO   index.jsp - index.jsp is opened!
29.11.2023 06:03:35.273 [http-bio-8080-exec-3] INFO   u.UFO00AcceptChallengeService - Answer was received. isAccepted: true; message: Ви прийняли виклик; next page: climbCaptainBridge.jsp
29.11.2023 06:03:35.274 [http-bio-8080-exec-3] INFO   u.w.UFO00ChallengeServlet - Answer was received. Message: Ви прийняли виклик; forwarding to page: climbCaptainBridge.jsp; status was set: 200.
29.11.2023 06:03:35.300 [http-bio-8080-exec-3] INFO   c.jsp - climbCaptainBridge.jsp is opened!
29.11.2023 06:20:48.285 [http-bio-8080-exec-3] INFO   index.jsp - index.jsp is opened!
